generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
C-Biomass_IGCC,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Biomass_IGCC,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,Central,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,Central,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,Central,Solar,2020,-2.904287757291255e-15,0.0,0.0,-8.09662907162966e-15,-1.4617607262095808e-09,-2.7107514131816103e-10,596.6474441719603,0.040919952726159274
C-Central_PV-2,C-Central_PV-2,Central_PV,Central,Solar,2030,0.0,0.0,0.0,2.763559657320901e-16,-6.77110164696932e-11,-1.5665605738478234e-11,0.0,0.0
C-Coal_IGCC,C-Coal_IGCC,Coal_IGCC,Central,Coal,2020,1.2087547908633909e-14,5.881510711191452e-11,9.179090481050064e-12,2.27094473023814e-15,5.180099561432293e-10,5.2546027546142176e-11,52.06772254873448,0.6071994458574809
C-Coal_IGCC,C-Coal_IGCC,Coal_IGCC,Central,Coal,2030,0.0,0.0,0.0,-8.787403183024261e-15,-2.0044355447496667e-09,-2.0332644981008855e-10,0.0,-0.0
C-Coal_ST,C-Coal_ST,Coal_ST,Central,Coal,2020,14.832031392000001,53395.31301120001,13459.17856635648,2.0,411840.16728896805,42780.0,34.251240903803506,0.846
C-Commercial_PV,C-Commercial_PV,Commercial_PV,Central,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,Central,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-NG_CC,C-NG_CC,NG_CC,Central,NaturalGas,2020,18.897122349806395,51598.21463369937,6722.978196160269,2.478242918274488,270729.64144487504,13981.778333848142,17.796870242302695,0.8698643329174831
C-NG_CC,C-NG_CC,NG_CC,Central,NaturalGas,2030,49.57986200437649,135376.8216057099,17638.893639669583,6.0169443357527985,552444.143711598,28247.38755639852,14.442765357115535,0.94
C-NG_GT,C-NG_GT,NG_GT,Central,NaturalGas,2020,4.120019999999999,91652.316912,2271.339833868,2.0,125164.37766366196,9783.6,54.9998045096048,0.23500064339669646
C-NG_GT,C-NG_GT,NG_GT,Central,NaturalGas,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Nuclear,C-Nuclear,Nuclear,Central,Uranium,2030,0.0,0.0,0.0,4.92120135028882e-16,1.696532477926981e-10,4.6499447318609007e-11,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,Central,Solar,2020,3.4226601824661683e-16,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,Central,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Wind-1,C-Wind-1,Wind,Central,Wind,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
C-Wind-1,C-Wind-1,Wind,Central,Wind,2030,27.8828928,0.0,0.0,4.0,498237.2053223575,178560.0,24.272913974592765,0.7952
C-Wind-2,C-Wind-2,Wind,Central,Wind,2020,-2.17421825224624e-16,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
C-Wind-2,C-Wind-2,Wind,Central,Wind,2030,22.48058232,0.0,0.0,3.0,374971.48499956884,133920.0,22.636997166198675,0.8548400000000002
N-Biomass_IGCC,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Biomass_IGCC,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Biomass_IGCC_CCS,N-Biomass_IGCC_CCS,Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Central_PV-1,N-Central_PV-1,Central_PV,North,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Central_PV-1,N-Central_PV-1,Central_PV,North,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Central_PV-2,N-Central_PV-2,Central_PV,North,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Central_PV-2,N-Central_PV-2,Central_PV,North,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Coal_IGCC,N-Coal_IGCC,Coal_IGCC,North,Coal,2020,-1.0218788482063706e-14,-6.215271530560788e-11,-7.759984472663466e-12,-1.91985206827473e-15,-5.453332172270651e-10,-5.552788137071001e-11,64.8818414303342,0.607199445857483
N-Coal_IGCC,N-Coal_IGCC,Coal_IGCC,North,Coal,2030,-1.3625101047409778e-14,-8.287058959055575e-11,-1.0346683733786228e-11,-1.91985206827473e-15,-5.453332172270651e-10,-5.552788137071001e-11,50.18190747868096,0.8095999999999993
N-Coal_IGCC_CCS,N-Coal_IGCC_CCS,Coal_IGCC_CCS,North,Coal,2030,-5.082787019848458e-15,-5.01061144416661e-11,-7.559356697236346e-13,-7.16192792897569e-16,-3.3283206220687026e-10,-2.957303280432642e-11,81.1586905450139,0.8096000000000002
N-Coal_ST,N-Coal_ST,Coal_ST,North,Coal,2020,14.832031392000001,50428.9067328,12750.80074707456,2.0,411840.16728896805,42780.0,34.0512409038035,0.846
N-Coal_ST,N-Coal_ST,Coal_ST,North,Coal,2030,14.832072,50429.044799999996,12750.835656959998,2.0,411840.16728896805,42780.0,34.051250212521666,0.846
N-Commercial_PV,N-Commercial_PV,Commercial_PV,North,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Commercial_PV,N-Commercial_PV,Commercial_PV,North,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Geothermal,N-Geothermal,Geothermal,North,Geothermal,2020,8.490555608562001,244782.71819484245,0.0,1.0,458317.52960571623,0.0,82.80968645815618,0.9685807500000001
N-Geothermal,N-Geothermal,Geothermal,North,Geothermal,2030,8.4905788545,244783.388375235,0.0,1.0,458317.52960571623,0.0,82.80976539061045,0.9685807500000002
N-NG_CC,N-NG_CC,NG_CC,North,NaturalGas,2020,15.419350926220346,52627.786646282664,5485.700846773914,2.0,226819.89511360374,11736.6,18.88434105645345,0.8794999510733514
N-NG_CC,N-NG_CC,NG_CC,North,NaturalGas,2030,16.480079999999997,56248.161047999994,5863.073565384,2.0,226819.89511360374,11736.6,17.88859418734457,0.94
N-NG_CC_CCS,N-NG_CC_CCS,NG_CC_CCS,North,NaturalGas,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-NG_GT,N-NG_GT,NG_GT,North,NaturalGas,2020,3.934216969585145,109398.77127325413,2168.9078495002836,2.0,125164.37766366196,9783.6,62.108102025364886,0.22440267744202957
N-NG_GT,N-NG_GT,NG_GT,North,NaturalGas,2030,0.0,0.0,0.0,2.0,125164.37766366196,9783.6,0.0,0.0
N-Nuclear,N-Nuclear,Nuclear,North,Uranium,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,North,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Residential_PV,N-Residential_PV,Residential_PV,North,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Wind-1,N-Wind-1,Wind,North,Wind,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
N-Wind-1,N-Wind-1,Wind,North,Wind,2030,27.8828928,0.0,0.0,4.0,616647.8043582508,223200.0,30.120623056102644,0.7952
N-Wind-2,N-Wind-2,Wind,North,Wind,2020,-6.6791504145492705e-15,0.0,0.0,4.48462138780663e-15,6.944866185895217e-10,2.5024187343961e-10,-141.44441035063662,-0.16990069789261686
N-Wind-2,N-Wind-2,Wind,North,Wind,2030,7.58066148,0.0,0.0,1.0000000000000004,154859.5875847585,55800.00000000002,27.789153347189863,0.8647799999999997
S-Biomass_IGCC,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-Biomass_IGCC,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-Biomass_IGCC_CCS,S-Biomass_IGCC_CCS,Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-Central_PV-1,S-Central_PV-1,Central_PV,South,Solar,2020,-1.9989096913645508e-17,0.0,0.0,5.43274972319856e-17,1.4748720809720967e-11,2.728326910990317e-12,-874.3290302815341,-0.041973307979914054
S-Central_PV-1,S-Central_PV-1,Central_PV,South,Solar,2030,0.0,0.0,0.0,-0.0,1.144598931166381e-12,2.4251794764358386e-13,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,South,Solar,2020,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-Central_PV-2,S-Central_PV-2,Central_PV,South,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-Commercial_PV,S-Commercial_PV,Commercial_PV,South,Solar,2020,1.6511888110733795e-15,0.0,0.0,4.1664363694049e-15,1.465935501016304e-09,2.0923843447151407e-10,1014.5259731979692,0.04520970843289795
S-Commercial_PV,S-Commercial_PV,Commercial_PV,South,Solar,2030,1.2169457340572535e-14,0.0,0.0,4.1664363694049e-15,1.465935501016304e-09,2.0923843447151407e-10,137.65433207047508,0.33319999999999944
S-Geothermal,S-Geothermal,Geothermal,South,Geothermal,2020,25.471666825686,881217.7855014327,0.0,3.0,1367975.6355844461,0.0,88.30177610590287,0.96858075
S-Geothermal,S-Geothermal,Geothermal,South,Geothermal,2030,25.4717365635,881220.1981508458,0.0,3.0,1367975.6355844461,0.0,88.30187082484802,0.96858075
S-NG_CC,S-NG_CC,NG_CC,South,NaturalGas,2020,39.52223278680608,161871.99926957738,14060.718048533468,5.0,567049.7377840093,29341.5,19.185738850936623,0.9017189366433602
S-NG_CC,S-NG_CC,NG_CC,South,NaturalGas,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-NG_CC_CCS,S-NG_CC_CCS,NG_CC_CCS,South,NaturalGas,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-NG_GT,S-NG_GT,NG_GT,South,NaturalGas,2020,3.0174705301900984,100688.16363959528,1663.5115879882933,2.0,125164.37766366196,9783.6,78.09061892923022,0.17211263926515988
S-NG_GT,S-NG_GT,NG_GT,South,NaturalGas,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,South,Solar,2020,1.6009406067496501e-15,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
S-Residential_PV,S-Residential_PV,Residential_PV,South,Solar,2030,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
